Áö¿ª,lat,long
F2,37.4963021,126.5687263
F3,37.48442796,126.4927697
F6,37.45740626,126.6337449
F8,37.47615161,126.6417203
F10,37.48239204,126.6513551
F12,37.4778025,126.6232467
F13,37.44974244,126.6440576
F14,37.4599976,126.6297188
F16,37.4705455,126.6290139
F17,37.44863092,126.640453
F21,37.4713039,126.6388177
F22,37.483259,126.6222927
F24,37.4839251,126.6315819
F26,37.46217377,126.6499082
F27,37.389254,126.4252418
F28,37.4508596,126.6182657
F29,37.514117,126.517925
F30,37.4729162,126.6488962
F31,37.47629169,126.6474913
F32,37.46995993,126.6019883
F33,37.5026657,126.5570414
F34,37.50549352,126.561206
F35,37.489165,126.5565501
F36,37.4776037,126.524555
F37,37.49812106,126.5401184
F38,37.5088544,126.5229638
F40,37.4751082,126.512497
F41,37.4839376,126.5281088
F42,37.50940761,126.5500432
F43,37.46,126.38
F44,37.4870376,126.5025337
F46,37.49749395,126.503234
F47,37.5009167,126.4876021
F48,37.4831569,126.5418928
F49,37.50996608,126.5297594
F50,37.51461298,126.5011353
